lk_id,lk,bundesland,population,population_male,population_female,lk_movement
6435,Main-Kinzig-Kreis,Hessen,421689,207943,213746,Main-Kinzig-Kreis
6436,Main-Taunus-Kreis,Hessen,239264,117253,122011,Main-Taunus-Kreis
6437,Odenwaldkreis,Hessen,96754,47806,48948,Odenwaldkreis
6438,Offenbach,Hessen,356542,175634,180908,Landkreis Offenbach
6439,Rheingau-Taunus-Kreis,Hessen,187433,92092,95341,Rheingau-Taunus-Kreis
6440,Wetteraukreis,Hessen,310353,153604,156749,Wetteraukreis
6531,Gießen,Hessen,271667,134060,137607,Landkreis Gießen
6532,Lahn-Dill-Kreis,Hessen,253373,124944,128429,Lahn-Dill-Kreis
6533,Limburg-Weilburg,Hessen,172291,85533,86758,Landkreis Limburg-Weilburg
6534,Marburg-Biedenkopf,Hessen,245903,121031,124872,Landkreis Marburg-Biedenkopf
6535,Vogelsbergkreis,Hessen,105506,52728,52778,Vogelsbergkreis
6611,Kassel (Kreisfreie Stadt),Hessen,201048,98897,102151,Kassel
6631,Fulda,Hessen,223023,110769,112254,Landkreis Fulda
6632,Hersfeld-Rotenburg,Hessen,120304,60363,59941,Landkreis Hersfeld-Rotenburg
6633,Kassel,Hessen,237007,116369,120638,Landkreis Kassel
6634,Schwalm-Eder-Kreis,Hessen,179840,90114,89726,Schwalm-Eder-Kreis
6635,Waldeck-Frankenberg,Hessen,156528,77946,78582,Landkreis Waldeck-Frankenberg
6636,Werra-Meißner-Kreis,Hessen,100046,49620,50426,Werra-Meißner-Kreis
7111,kreisfreie Stadt Koblenz,Rheinland-Pfalz,113388,55537,57851,Koblenz
7131,Ahrweiler,Rheinland-Pfalz,130479,64344,66135,Landkreis Ahrweiler
7132,Altenkirchen (Westerwald),Rheinland-Pfalz,129087,63943,65144,Landkreis Altenkirchen
7133,Bad Kreuznach,Rheinland-Pfalz,158746,77549,81197,Landkreis Bad Kreuznach
7134,Birkenfeld,Rheinland-Pfalz,80830,40087,40743,Landkreis Birkenfeld
7135,Cochem-Zell,Rheinland-Pfalz,61578,30858,30720,Landkreis Cochem-Zell
7137,Mayen-Koblenz,Rheinland-Pfalz,214786,106162,108624,Landkreis Mayen-Koblenz
7138,Neuwied,Rheinland-Pfalz,183131,90251,92880,Landkreis Neuwied
7140,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,103401,51432,51969,Rhein-Hunsrück-Kreis
7141,Rhein-Lahn-Kreis,Rheinland-Pfalz,122574,60684,61890,Rhein-Lahn-Kreis
7143,Westerwaldkreis,Rheinland-Pfalz,202830,100629,102201,Westerwaldkreis
7211,kreisfreie Stadt Trier,Rheinland-Pfalz,110674,54665,56009,Trier
7231,Bernkastel-Wittlich,Rheinland-Pfalz,112685,56422,56263,Landkreis Bernkastel-Wittlich
7232,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,100055,50484,49571,Eifelkreis Bitburg-Prüm
7233,Vulkaneifel,Rheinland-Pfalz,60491,30283,30208,Landkreis Vulkaneifel
7235,Trier-Saarburg,Rheinland-Pfalz,150533,74581,75952,Landkreis Trier-Saarburg
7311,kreisfreie Stadt Frankenthal (Pfalz),Rheinland-Pfalz,48750,23745,25005,Frankenthal (Pfalz)
7312,Kaiserslautern (Kreisfreie Stadt),Rheinland-Pfalz,99662,50286,49376,Kaiserslautern
7313,kreisfreie Stadt Landau in der Pfalz,Rheinland-Pfalz,46685,22225,24460,Landau in der Pfalz
7314,kreisfreie Stadt Ludwigshafen am Rhein,Rheinland-Pfalz,172557,86670,85887,Ludwigshafen am Rhein
7315,kreisfreie Stadt Mainz,Rheinland-Pfalz,217123,105835,111288,Mainz
7316,kreisfreie Stadt Neustadt an der Weinstraße,Rheinland-Pfalz,53306,25994,27312,Neustadt an der Weinstraße
7317,kreisfreie Stadt Pirmasens,Rheinland-Pfalz,40176,19694,20482,Pirmasens
7318,kreisfreie Stadt Speyer,Rheinland-Pfalz,50741,24685,26056,Speyer
7319,kreisfreie Stadt Worms,Rheinland-Pfalz,83459,41298,42161,Worms
7320,kreisfreie Stadt Zweibrücken,Rheinland-Pfalz,34001,16840,17161,Zweibrücken
7331,Alzey-Worms,Rheinland-Pfalz,130715,64964,65751,Landkreis Alzey-Worms
7332,Bad Dürkheim,Rheinland-Pfalz,133004,65103,67901,Landkreis Bad Dürkheim
7333,Donnersbergkreis,Rheinland-Pfalz,75539,37417,38122,Donnersbergkreis
7334,Germersheim,Rheinland-Pfalz,129006,64237,64769,Landkreis Germersheim
7335,Kaiserslautern,Rheinland-Pfalz,106320,52252,54068,Landkreis Kaiserslautern
7336,Kusel,Rheinland-Pfalz,70105,34821,35284,Landkreis Kusel
7337,Südliche Weinstraße,Rheinland-Pfalz,110783,54600,56183,Landkreis Südliche Weinstraße
7338,Rhein-Pfalz-Kreis,Rheinland-Pfalz,154754,76338,78416,Rhein-Pfalz-Kreis
7339,Mainz-Bingen,Rheinland-Pfalz,211525,104352,107173,Landkreis Mainz-Bingen
7340,Südwestpfalz,Rheinland-Pfalz,94912,46838,48074,Landkreis Südwestpfalz
8111,Stadtkreis Stuttgart,Baden-Württemberg,630305,314721,315584,Stuttgart
8115,Böblingen,Baden-Württemberg,392898,195361,197537,Landkreis Böblingen
8116,Esslingen,Baden-Württemberg,533617,266492,267125,Landkreis Esslingen
8117,Göppingen,Baden-Württemberg,258781,129002,129779,Landkreis Göppingen
8118,Ludwigsburg,Baden-Württemberg,544971,270496,274475,Landkreis Ludwigsburg
8119,Rems-Murr-Kreis,Baden-Württemberg,427286,211269,216017,Rems-Murr-Kreis
8121,Heilbronn (Stadtkreis),Baden-Württemberg,126458,63756,62702,Heilbronn
8125,Heilbronn,Baden-Württemberg,346363,173850,172513,Landkreis Heilbronn
8126,Hohenlohekreis,Baden-Württemberg,112765,56886,55879,Hohenlohekreis
8127,Schwäbisch Hall,Baden-Württemberg,197860,99297,98563,Landkreis Schwäbisch Hall
8128,Main-Tauber-Kreis,Baden-Württemberg,132684,66226,66458,Main-Tauber-Kreis
8135,Heidenheim,Baden-Württemberg,132812,66132,66680,Landkreis Heidenheim
8136,Ostalbkreis,Baden-Württemberg,314294,156574,157720,Ostalbkreis
8211,Stadtkreis Baden-Baden,Baden-Württemberg,55449,26664,28785,Baden-Baden
8212,Karlsruhe (Stadtkreis),Baden-Württemberg,308436,157729,150707,Karlsruhe
8215,Karlsruhe,Baden-Württemberg,446852,222525,224327,Landkreis Karlsruhe
8216,Rastatt,Baden-Württemberg,232091,115311,116780,Landkreis Rastatt
8221,Stadtkreis Heidelberg,Baden-Württemberg,158741,76264,82477,Heidelberg
8222,Stadtkreis Mannheim,Baden-Württemberg,309721,154262,155459,Mannheim
8225,Neckar-Odenwald-Kreis,Baden-Württemberg,143797,72251,71546,Neckar-Odenwald-Kreis
8226,Rhein-Neckar-Kreis,Baden-Württemberg,548233,269639,278594,Rhein-Neckar-Kreis
8231,Stadtkreis Pforzheim,Baden-Württemberg,126016,62075,63941,Pforzheim
8235,Calw,Baden-Württemberg,160149,80330,79819,Landkreis Calw
8236,Enzkreis,Baden-Württemberg,199752,99079,100673,Enzkreis
8237,Freudenstadt,Baden-Württemberg,118364,59172,59192,Landkreis Freudenstadt
8311,Stadtkreis Freiburg im Breisgau,Baden-Württemberg,230940,110242,120698,Freiburg im Breisgau
